City Key,City,Location,State Province Key
98700,Greenfield,POINT (-90.712611999999993 35.6323013),4
98706,Grider,POINT (-89.9806435 35.6386903),4
101245,Schaal,POINT (-93.961022 33.8262286),4
101362,Wesson,POINT (-92.7626597 33.1154128),4
94161,Astor Park,POINT (-81.5720175 29.1535911),9
94175,Bakers Mill,POINT (-82.939302 30.5796601),9
94237,Bratt,POINT (-87.4274794 30.9657386),9
94308,Compass Lake,POINT (-85.3927045 30.5926937),9
101044,Ward Ridge,POINT (-85.2849181 29.7885429),9
101061,West Frostproof,POINT (-81.5831327 27.733641),9
102959,Florahome,POINT (-81.8834269 29.7327446),9
103211,Lynne,POINT (-81.9173071 29.1924772),9
95601,Saint Landry,POINT (-92.257905 30.8443611),18
95693,Vidrine,POINT (-92.3981875 30.6926971),18
95748,Alden Bridge,POINT (-93.720178 32.7751427),18
95930,Donner,POINT (-90.9442629 29.6957647),18
104446,Hanna,POINT (-93.3476723 31.9612732),18
104594,Meaux,POINT (-92.1826264 30.0207608),18
101493,Abbottsburg,POINT (-78.7250179 34.517114),33
104145,Roberta Mill,POINT (-80.6359013 35.3573633),33
104202,Shawboro,POINT (-76.0940962 36.4054333),33
104289,Valhalla,POINT (-76.6577239 36.1371028),33
105753,Long Beach,POINT (-78.1177711 33.9104515),33
103794,Alstead,POINT (-72.3606431 43.1489663),29
103845,Dorchester,POINT (-71.9486943 43.7567382),29
103866,Gilford,POINT (-71.4067385 43.5475771),29
103875,Greenfield,POINT (-71.8723003 42.9506384),29
95224,White Horse Beach,POINT (-70.5578093 41.9309375),21
102199,Lancaster,POINT (-71.6731246 42.4556475),21
102209,Liberty Plain,POINT (-70.882822 42.1889895),21
102671,New Braintree,POINT (-72.1259114 42.3167581),21
105260,Ashland,POINT (-71.4633956 42.2612067),21
105279,Bernardston,POINT (-72.5495336 42.6709176),21
105299,Brookville,POINT (-71.0092126 42.1251),21
105327,Cotuit,POINT (-70.4369703 41.6167766),21
105339,Dracut,POINT (-71.3020052 42.6703687),21
105356,Edgartown,POINT (-70.5133599 41.3890052),21
96334,Beals,POINT (-67.6149935 44.5198009),19
96434,Edgecomb,POINT (-69.630602 43.9584129),19
96491,Hodgdon,POINT (-67.8666846 46.0539429),19
99970,Tremont,POINT (-68.4155746 44.2667467),19
99979,Vassalboro,POINT (-69.6775451 44.4592341),19
