Sale Key,City Key,Customer Key,Stock Item Key,Invoice Date Key,Delivery Date Key,Salesperson Key,WWI Invoice ID,Quantity,Unit Price,Total Excluding Tax,Tax Amount,Region
21412,40971,0,196,02/10/2017,05/10/2017,3,6594,1,13,13,1.95,Far West
22762,47134,0,202,10/10/2017,14/10/2017,3,7010,1,13,13,1.95,Far West
32998,48763,0,197,05/12/2017,07/12/2017,3,10172,1,13,13,1.95,Far West
39437,77092,0,201,12/01/2018,13/01/2018,3,12182,1,13,13,1.95,Far West
95590,89925,0,183,02/12/2018,03/12/2018,3,29399,1,13,13,1.95,Far West
108468,48833,0,173,14/02/2019,15/02/2019,3,33405,1,13,13,1.95,Far West
177356,72761,0,199,03/02/2020,04/02/2020,3,54684,1,13,13,1.95,Far West
193669,66176,0,163,26/04/2020,27/04/2020,3,59728,1,13,13,1.95,Far West
207396,112081,0,191,09/07/2020,10/07/2020,3,64019,1,13,13,1.95,Far West
223966,107607,0,193,03/10/2020,04/10/2020,3,69194,1,13,13,1.95,Far West
189814,108881,0,182,04/04/2020,05/04/2020,3,58532,1,13,13,1.95,Far West
130334,47757,0,181,12/06/2019,13/06/2019,3,40145,1,13,13,1.95,Far West
140354,48763,0,183,04/08/2019,05/08/2019,3,43232,1,13,13,1.95,Far West
153343,87481,0,189,08/10/2019,09/10/2019,3,47241,1,13,13,1.95,Far West
173919,112167,0,177,18/01/2020,19/01/2020,3,53611,1,13,13,1.95,Far West
202934,111993,0,168,12/06/2020,13/06/2020,3,62604,1,13,13,1.95,Far West
115819,72761,0,184,22/03/2019,23/03/2019,3,35656,1,13,13,1.95,Far West
115821,72761,0,200,22/03/2019,24/03/2019,3,35656,1,13,13,1.95,Far West
115872,41568,0,183,22/03/2019,23/03/2019,3,35673,1,13,13,1.95,Far West
119014,48762,0,179,09/04/2019,10/04/2019,3,36632,1,13,13,1.95,Far West
120457,47134,0,186,16/04/2019,17/04/2019,3,37070,1,13,13,1.95,Far West
124465,72125,0,195,11/05/2019,12/05/2019,3,38318,1,13,13,1.95,Far West
124702,48833,0,177,11/05/2019,12/05/2019,3,38389,1,13,13,1.95,Far West
,,,,,,,,0,,,,Far West
88990,72709,0,179,28/10/2018,01/11/2018,3,27355,1,13,13,1.95,Far West
95599,87633,0,189,02/12/2018,03/12/2018,3,29402,1,13,13,1.95,Far West
134130,89925,0,173,02/07/2019,03/07/2019,3,41315,1,13,13,1.95,Far West
134794,47692,0,164,04/07/2019,05/07/2019,3,41517,1,13,13,1.95,Far West
140885,72709,0,200,07/08/2019,08/08/2019,3,43396,1,13,13,1.95,Far West
152979,66176,0,189,06/10/2019,07/10/2019,3,47126,1,13,13,1.95,Far West
154377,87633,0,166,13/10/2019,14/10/2019,3,47569,1,13,13,1.95,Far West
104140,48763,0,178,17/01/2019,18/01/2019,3,32063,1,13,13,1.95,Far West
106044,48851,0,203,30/01/2019,06/02/2019,3,32654,1,13,13,1.95,Far West
109032,47741,0,195,16/02/2019,17/02/2019,3,33578,1,13,13,1.95,Far West
142064,72894,0,186,14/08/2019,15/08/2019,3,43759,1,13,13,1.95,Far West
157759,41568,0,168,27/10/2019,30/10/2019,3,48601,1,13,13,1.95,Far West
170762,72646,0,170,01/01/2020,02/01/2020,3,52633,1,13,13,1.95,Far West
121980,72709,0,164,28/04/2019,03/05/2019,3,37546,1,13,13,1.95,Far West
124710,72646,0,192,11/05/2019,12/05/2019,3,38391,1,13,13,1.95,Far West
176767,72610,0,167,01/02/2020,02/02/2020,3,54509,1,13,13,1.95,Far West
180963,72646,0,171,21/02/2020,22/02/2020,3,55809,1,13,13,1.95,Far West
189610,107721,0,188,04/04/2020,05/04/2020,3,58470,1,13,13,1.95,Far West
190275,109634,0,172,08/04/2020,09/04/2020,3,58673,1,13,13,1.95,Far West
144267,72709,0,171,24/08/2019,25/08/2019,3,44432,1,13,13,1.95,Far West
151611,72894,0,203,29/09/2019,03/10/2019,3,46705,1,13,13,1.95,Far West
154397,41432,0,164,13/10/2019,14/10/2019,3,47574,1,13,13,1.95,Far West
155718,72709,0,203,20/10/2019,21/10/2019,3,47977,1,13,13,1.95,Far West
,,,,,,,,0,,,,Far West
171266,108137,0,165,02/01/2020,03/01/2020,3,52786,1,13,13,1.95,Far West
203917,107558,0,198,17/06/2020,18/06/2020,3,62920,1,13,13,1.95,Far West
1376,47741,0,202,31/05/2017,12/06/2017,3,499,1,13,13,1.95,Far West
2848,63578,0,173,08/06/2017,11/06/2017,3,935,1,13,13,1.95,Far West
2858,48937,0,194,08/06/2017,11/06/2017,3,939,1,13,13,1.95,Far West
5588,72610,0,203,24/06/2017,27/06/2017,3,1743,1,13,13,1.95,Far West
5757,47692,0,165,26/06/2017,30/06/2017,3,1791,1,13,13,1.95,Far West
11688,41568,0,200,05/08/2017,08/08/2017,3,3589,1,13,13,1.95,Far West
13374,41432,0,186,16/08/2017,21/08/2017,3,4104,1,13,13,1.95,Far West
14642,41568,0,181,24/08/2017,28/08/2017,3,4502,1,13,13,1.95,Far West
17440,72894,0,180,09/09/2017,11/09/2017,3,5372,1,13,13,1.95,Far West
18693,41568,0,165,16/09/2017,21/09/2017,3,5764,1,13,13,1.95,Far West
23503,47855,0,198,15/10/2017,18/10/2017,3,7248,1,13,13,1.95,Far West
23517,47855,0,169,15/10/2017,19/10/2017,3,7252,1,13,13,1.95,Far West
25663,47741,0,185,26/10/2017,02/11/2017,3,7902,1,13,13,1.95,Far West
29705,72709,0,179,17/11/2017,22/11/2017,3,9142,1,13,13,1.95,Far West
29880,63578,0,191,18/11/2017,22/11/2017,3,9199,1,13,13,1.95,Far West
30106,48851,0,185,19/11/2017,21/11/2017,3,9272,1,13,13,1.95,Far West
31153,72709,0,194,25/11/2017,26/11/2017,3,9595,1,13,13,1.95,Far West
32530,41432,0,179,03/12/2017,04/12/2017,3,10030,1,13,13,1.95,Far West
33240,72125,0,169,07/12/2017,08/12/2017,3,10249,1,13,13,1.95,Far West
34662,87481,0,172,14/12/2017,17/12/2017,3,10683,1,13,13,1.95,Far West
34853,47741,0,196,15/12/2017,17/12/2017,3,10743,1,13,13,1.95,Far West
,,,,,,,,0,,,,Far West
35250,76936,0,170,17/12/2017,18/12/2017,3,10874,1,13,13,1.95,Far West
39597,77092,0,202,13/01/2018,14/01/2018,3,12229,1,13,13,1.95,Far West
41808,72610,0,178,27/01/2018,02/02/2018,3,12918,1,13,13,1.95,Far West
42571,41432,0,187,01/02/2018,02/02/2018,3,13156,1,13,13,1.95,Far West
42973,44333,0,185,03/02/2018,04/02/2018,3,13278,1,13,13,1.95,Far West
43548,47134,0,200,07/02/2018,08/02/2018,3,13446,1,13,13,1.95,Far West
51466,48851,0,197,26/03/2018,31/03/2018,3,15867,1,13,13,1.95,Far West
54806,72709,0,166,13/04/2018,14/04/2018,3,16873,1,13,13,1.95,Far West
57044,76936,0,165,28/04/2018,05/05/2018,3,17564,1,13,13,1.95,Far West
57344,72646,0,203,01/05/2018,10/05/2018,3,17658,1,13,13,1.95,Far West
57917,47692,0,198,04/05/2018,05/05/2018,3,17838,1,13,13,1.95,Far West
59265,72646,0,193,13/05/2018,14/05/2018,3,18254,1,13,13,1.95,Far West
60383,66176,0,176,19/05/2018,20/05/2018,3,18590,1,13,13,1.95,Far West
60502,41568,0,187,22/05/2018,25/05/2018,3,18628,1,13,13,1.95,Far West
110787,87481,0,171,28/02/2019,05/03/2019,3,34122,1,13,13,1.95,Far West
111664,91464,0,183,04/03/2019,05/03/2019,3,34393,1,13,13,1.95,Far West
113517,48762,0,181,14/03/2019,15/03/2019,3,34956,1,13,13,1.95,Far West
114660,72646,0,192,21/03/2019,22/03/2019,3,35313,1,13,13,1.95,Far West
117103,48851,0,176,28/03/2019,30/03/2019,3,36054,1,13,13,1.95,Far West
117165,41568,0,200,29/03/2019,02/04/2019,3,36075,1,13,13,1.95,Far West
122186,44333,0,168,30/04/2019,05/05/2019,3,37608,1,13,13,1.95,Far West
123717,47134,0,175,08/05/2019,09/05/2019,3,38083,1,13,13,1.95,Far West
61153,47741,0,197,23/05/2018,24/05/2018,3,18826,1,13,13,1.95,Far West
62247,48851,0,199,30/05/2018,07/06/2018,3,19163,1,13,13,1.95,Far West
62963,47692,0,192,04/06/2018,05/06/2018,3,19384,1,13,13,1.95,Far West
63879,72610,0,177,08/06/2018,09/06/2018,3,19659,1,13,13,1.95,Far West
65191,89925,0,204,15/06/2018,17/06/2018,3,20054,1,13,13,1.95,Far West
65888,72761,0,204,20/06/2018,21/06/2018,3,20271,1,13,13,1.95,Far West
65989,44333,0,182,20/06/2018,21/06/2018,3,20301,1,13,13,1.95,Far West
69671,77092,0,194,12/07/2018,13/07/2018,3,21456,1,13,13,1.95,Far West
69902,47692,0,187,13/07/2018,15/07/2018,3,21526,1,13,13,1.95,Far West
,,,,,,,,0,,,,Far West
